Index,0 [0x7][0xc],1 [0x0][0x8],2 [0x0][0x0],3 [0x0][0x4]
2095,24,"","천공의 두루마리","-"
2096,24,"","마물 사냥","-"
2097,24,"","정예 마물","-"
2098,24,"","진 라무 토벌전","-"
2099,24,"","극 라무 토벌전","-"
2100,24,"","시르쿠스 탑","-"
2101,24,"","대미궁 바하무트(영웅)","-"
2102,24,"","카르테노 평원","-"
2103,24,"","난파선의 섬","-"
2104,24,"","전장","-"
2105,24,"","저레벨","-"
2106,24,"","숙련자","-"
2107,24,"","고레벨","-"
2108,24,"","진성편","-"
2109,24,"","진 시바 토벌전","-"
2110,24,"","극 시바 토벌전","-"
2111,24,"","얼음외투 대빙벽","-"
2112,24,"","아마지나배 투기대회 결승전","-"
2113,24,"","납품 퀘스트","-"
2114,24,"","투신 오딘 토벌전","-"
2115,24,"","어둠의 세계","-"
2116,24,"","외곽 유적지대","-"
2117,24,"","제압전","-"
2118,24,"","섬멸전","-"
2119,24,"","묵약의 탑","-"
2120,24,"","진 길가메시 토벌전","-"
2121,24,"","아씨엔","-"
2122,24,"","보이드","-"
2123,24,"","구브라 환상도서관","-"
2124,24,"","거두지 않는 섬","-"
2125,24,"","이슈가르드 교황청","-"
2126,24,"","무한연속 박물함","-"
2127,24,"","어스름 요새","-"
2128,24,"","솜 알","-"
2129,24,"","마과학 연구소","-"
2130,24,"","용의 둥지","-"
2131,24,"","진 라바나 토벌전","-"
2132,24,"","극 라바나 토벌전","-"
2133,24,"","진 비스마르크 토벌전","-"
2134,24,"","극 비스마르크 토벌전","-"
2135,24,"","봉인된 바위섬","-"
2136,24,"","쟁탈전","-"
2137,24,"","기공성 알렉산더","-"
2138,24,"","기공성 알렉산더(영웅)","-"
2139,24,"","기동편","-"
2140,24,"","아씨엔 나브리알레스 토벌전","-"
2141,24,"","성도 이슈가르드 방어전","-"
2142,24,"","나이츠 오브 라운드 토벌전","-"
2143,24,"","신전기사단 의뢰","-"
2144,24,"","성 모샨 식물원","-"
2145,24,"","마하의 그림자","-"
2146,24,"","보이드의 방주","-"
2147,24,"","초보자의 집","-"
2148,24,"","거꾸로 선 탑","-"
2149,24,"","율동편","-"
2150,24,"","마신 세피로트 토벌전","-"
2151,24,"","극 마신 세피로트 토벌전","-"
2152,24,"","더 폴드","-"
2153,24,"","더 피스트","-"
2154,24,"","나무인형 토벌전","-"
2155,24,"","소르 카이","-"
2156,24,"","금기도시 마하","-"
2157,24,"","딥 던전","-"
2158,24,"","망자의 궁전","-"
2159,24,"","니드호그 토벌전","-"
2160,24,"","극 니드호그 토벌전","-"
2161,24,"","영광의 평원","-"
2162,24,"","쇄빙전","-"
2163,24,"","결투","-"
2164,24,"","젤파톨","-"
2165,24,"","여신 소피아 토벌전","-"
2166,24,"","극 여신 소피아 토벌전","-"
2167,24,"","천동편","-"
2200,49,"Mount","【탈것】","탈것."
2201,50,"ClassJob[1-33]","【클래스와 잡】","클래스와 잡."
2202,51,"PlaceName[20-37,39-59,61-65,67-67,94-94,107-107,123-123,129-129,140-140,154-154,184-184,206-206,216-216,218-218,223-223,237-237,239-239,271-271,290-290,300-300,313-313,323-323,325-325,331-331,337-337,350-350,357-361,386-386,388-388,392-392,406-406,411-411,425-427,440-440,459-459,462-462,477-477,497-498,694-694,1301-1305,1334-1334,1363-1363,1374-1374,1390-1390,1399-1399,1406-1410,1484-1484,1500-1500,1628-1628,1633-1633,1638-1638,1645-1645,1647-1647,1664-1665,1708-1708,1714-1714,1723-1723,1731-1731,1742-1742,1792-1792,1800-1802,1805-1805,1807-1807,1809-1809,1835-1835,1841-1841,1847-1847,1853-1853,2000-2002,2018-2018,2025-2025,2042-2042,2046-2046,2081-2082,2090-2090,2100-2101,2116-2116,2123-2123,2131-2131,2151-2151,2181-2181,2200-2200,2204-2204,2256-2256,2265-2265,2300-2301]","【지명】","지명."
2203,52,"Race","【민족】","민족."
2204,53,"Tribe","【부족】","부족."
2205,54,"GuardianDeity[1-12]","【수호신】","수호신."
2206,55,"GeneralAction[1-10,12-22,24-24]","【일반 기술】","일반 기술."
2207,56,"Action[9-191,197-208,210-222,224-228,231-239,241-244,252-252,260-260,276-279,281-281,283-297,299-300,2135-2135,2240-2252,2254-2272,2864-2890,3359-3362,3487-3487,3538-3643,3707-3708,4072-4087,4095-4097,4100-4100,4102-4106,4179-4179,4238-4249,4262-4262,4401-4406,4560-4560,4568-4573]","【기술】","기술."
2208,57,"CraftAction[100001-100010,100020-100020,100033-100033,100036-100036,100039-100039,100050-100050,100063-100063,100066-100066,100069-100069,100083-100083,100095-100095,100098-100098,100108-100108,100120-100120,100128-100128,100136-100137,100145-100145,100153-100153,100161-100161,100169-100169,100177-100187]","【제작 기술】","제작 기술."
2209,58,"BuddyAction","【버디 기술】","버디 기술."
2210,59,"PetAction[1-35,37-39]","【소환수 기술】","소환수 기술."
2211,60,"Weather[col-1,1-11,14-17,19-20,22-23,25-25,29-29,35-36,40-40,44-44,49-51,53-54,60-60,66-66,69-69,71-71]","【날씨】","날씨."
2212,61,"MainCommand[col-4,1-36,41-42,44-44,56-62,64-70,72-99]","【주 메뉴】","주 메뉴."
2213,62,"TextCommand[col-8,col-5,100-211,213-321,323-455,459-699]","【텍스트 명령어】","텍스트 명령어."
2214,63,"Action[1558-1609]","【PvP 기술】","PvP 기술."
2215,64,"Pet[col-1,1-9]","【소환수】","소환수."
2216,65,"Companion[noun,1-67,71-225]","【꼬마 친구】","꼬마 친구."
3000,25,"@","【골드 소서】","골드 소서."
3001,25,"","초코보 경주","-"
3002,25,"","경주 초코보","-"
3003,25,"","신입 초코보","-"
3004,25,"","은퇴 초코보","-"
3005,25,"","교배","-"
3006,25,"","체급","-"
3007,25,"","혈통 레벨","-"
3008,25,"","무작위 코스","-"
3009,25,"","사골리 사막","-"
3010,25,"","고요한 야영지","-"
3011,25,"","트리플 트라이어드","-"
3012,25,"","카드","-"
3013,25,"","카드 유형","-"
3014,25,"","희귀도","-"
3015,25,"","대결","-"
3016,25,"","대회","-"
3017,25,"","토너먼트","-"
3018,25,"","승점","-"
3019,25,"","특수 규칙","-"
3020,25,"","유행 규칙","-"
3021,25,"","대결 규칙","-"
3022,25,"","대회 규칙","-"
3023,25,"","모두 공개","-"
3024,25,"","3장 공개","-"
3025,25,"","동수","-"
3026,25,"","연장전","-"
3027,25,"","합산","-"
3028,25,"","무작위 패","-"
3029,25,"","순서대로","-"
3030,25,"","무작위 순서","-"
3031,25,"","역전","-"
3032,25,"","에이스 약화","-"
3033,25,"","유형 강화","-"
3034,25,"","유형 약화","-"
3035,25,"","카드 교환","-"
3036,25,"","무작위 규칙","-"
3037,25,"","덱","-"
3038,25,"","원하는 규칙","-"
3039,25,"","돌발 게임","-"
3040,25,"","복권","-"
3041,25,"","주간 복권","-"
3042,25,"","일일 복권","-"
3043,25,"","당첨번호","-"
3044,25,"","꼬마 친구 공방전","-"
3045,25,"","파괴 특화","-"
3046,25,"","비전석","-"
3047,25,"","소환진","-"
3048,25,"","방어막 ","-"
3049,25,"","탐색의 눈","-"
3050,25,"","동물","-"
3051,25,"","인형","-"
3052,25,"","기계","-"
3053,25,"","특수기","-"
3054,25,"","함정","-"
3300,26,"@","【상태 이상】","상태 이상"
3301,26,"","마비","-"
3302,26,"","침묵","-"
3303,26,"","기절","-"
3304,26,"","수면","-"
3305,26,"","과중력","-"
3306,26,"","석화","-"
3307,26,"","매료","-"
3308,26,"","흡수","-"
3309,26,"","구속","-"
3310,26,"","변신","-"
3311,26,"","독","-"
3500,8,"","○","동그라미"
3501,8,"","×","가위표"
3502,8,"","△","세모"
3503,8,"","□","네모"
3504,8,"","안쪽","-"
3505,8,"","바깥쪽","-"
3506,8,"","시계방향","-"
3507,8,"","반시계방향","-"
3510,8,"","장판","-"
3511,8,"","시선","-"
3512,8,"","원형","-"
3513,8,"","부채꼴","-"
3514,8,"","대각선","-"
3515,8,"","직선","-"
3516,8,"","도넛형","-"
3517,8,"","선","-"
3518,8,"","구체","-"
3519,8,"","지면","-"
3520,8,"","벽","-"
3521,8,"","기둥","-"
3522,8,"","바위","-"
3523,8,"","불","-"
3524,8,"","물","-"
3525,8,"","얼음","-"
3527,8,"","폭발","-"
3528,8,"","동시","-"
3529,8,"","교대로","-"
3531,8,"","합체","-"
3535,8,"","집합","-"
3536,8,"","산개","-"
3540,8,"","나눠 맞기","-"
3541,8,"","반사 피해","-"
3542,8,"","지속 피해","-"
3543,8,"","모드 전환","-"
3544,8,"","페이즈","-"
3545,8,"","강화 중첩","-"
3546,8,"","약화 중첩","-"
3547,8,"","무작위 대상","-"
3600,27,"@","【딥 던전】","-"
3601,27,"","전송 석탑","-"
3602,27,"","부활 석탑","-"
3603,27,"","마토기: 함정 해제","-"
3604,27,"","마토기: 사이트로","-"
3605,27,"","마토기: 자기 강화","-"
3606,27,"","마토기: 방어 강화","-"
3607,27,"","마토기: 보물상자 증가","-"
3608,27,"","마토기: 적 감소","-"
3609,27,"","마토기: 적 대체","-"
3610,27,"","마토기: 저주 해제","-"
3611,27,"","마토기: 운 상승","-"
3612,27,"","마토기: 적 변형","-"
3613,27,"","마토기: 마법 효과 해제","-"
3614,27,"","마토기: 만티코어 변신","-"
3615,27,"","마토기: 서큐버스 변신","-"
3616,27,"","마토기: 보물 탐지","-"
