Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x6][0x4c],9 [0x5][0x60],10 [0x3][0x6c],11 [0x3][0x6d],12 [0x3][0x6e],13 [0x5][0x62],14 [0x5][0x64],15 [0x9][0x1c],16 [0x9][0x34],17 [0x9][0x20],18 [0x9][0x38],19 [0x9][0x24],20 [0x9][0x3c],21 [0x9][0x28],22 [0x9][0x40],23 [0x9][0x2c],24 [0x9][0x44],25 [0x9][0x30],26 [0x9][0x48],27 [0x5][0x66],28 [0x0][0x10],29 [0x0][0x14],30 [0x0][0x18],31 [0x3][0x6f],32 [0x3][0x70],33 [0x19][0x77],34 [0x1a][0x77],35 [0x6][0x50],36 [0x6][0x54],37 [0x6][0x58],38 [0x6][0x5c],39 [0x2][0x76],40 [0x5][0x68],41 [0x3][0x71],42 [0x3][0x72],43 [0x3][0x73],44 [0x3][0x74],45 [0x3][0x75],46 [0x5][0x6a],47 [0x1b][0x77],48 [0x1c][0x77],49 [0x1d][0x77]
71,"",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","","",0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false
72,"콩가마토",0,"",0,0,1,0,0,1411,2,1,45,0,374,375,0.6,0.55,0.67,0.65,0.4,0.4,0.57,0.5,0.75,0.68,0.7,0.5,319,"SE_Bt_Etc_EnsaWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_EnsaBye",15,9,false,true,0,0,0,0,50,4451,24,65,0,0,0,0,true,false,false
73,"즈",0,"",0,0,1,0,0,1446,2,1,45,15,374,375,0.75,0.75,0.75,0.75,0.65,0.65,0.75,0.75,0.83,0.8,0.75,0.75,319,"SE_Bt_Etc_ZooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_ZooBye",20,20,false,true,0,0,0,0,51,4452,25,55,9,3,0,0,false,false,false
74,"벤누",0,"",0,0,1,0,0,1447,2,1,45,15,374,375,0.75,0.75,0.75,0.75,0.65,0.65,0.75,0.75,0.83,0.8,0.75,0.75,376,"SE_Bt_Etc_BennuWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BennuWhistle_only",20,20,false,true,0,0,0,0,52,4453,25,55,9,3,0,0,false,false,false
75,"흰송골매",0,"",0,0,1,0,0,1511,2,1,45,15,374,375,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,371,"SE_Bt_Etc_BirdWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BirdBye",20,10,false,true,0,0,0,0,53,4454,250,55,9,3,0,0,false,false,false
76,"붉은송골매",0,"",0,0,1,0,0,1512,2,1,45,15,374,375,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,372,"SE_Bt_Etc_BirdWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BirdBye",20,10,false,true,0,0,0,0,54,4455,250,55,9,3,0,0,false,false,false
77,"기사신의 송골매",0,"",0,0,1,0,0,1513,2,1,45,15,374,375,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,373,"SE_Bt_Etc_BirdWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BirdBye",20,10,false,true,0,0,0,0,55,4456,250,55,9,3,0,0,false,false,false
78,"전쟁송골매",0,"",0,0,1,0,0,1514,2,1,45,15,374,375,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,374,"SE_Bt_Etc_BirdWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BirdBye",20,10,false,true,0,0,0,0,56,4457,250,55,9,3,0,0,false,false,false
79,"",0,"",0,0,1,0,0,1411,2,1,45,0,374,375,0.6,0.55,0.67,0.65,0.4,0.4,0.57,0.5,0.75,0.68,0.7,0.5,319,"SE_Bt_Etc_EnsaWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_EnsaBye",15,9,false,true,0,0,0,0,-1,0,0,65,0,0,0,15,false,false,false
80,"영광호",0,"",0,0,1,0,0,1444,2,1,45,15,374,375,0.8,0.78,0.85,0.8,0.5,0.5,0.75,0.7,1.0,0.9,0.98,0.68,319,"SE_Bt_Etc_CyoukogataWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_CyoukogataBye",0,10,false,true,0,0,0,0,57,4458,101,100,0,0,0,0,true,false,false
81,"근두운",0,"",0,0,1,0,0,1505,2,1,45,15,374,375,1.0,0.9,1.0,0.98,0.55,0.55,0.9,0.85,1.1,1.0,1.0,0.82,319,"SE_Bt_Etc_KintounWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_KintounBye",20,20,false,true,0,0,0,0,58,4459,252,100,0,0,0,0,true,false,false
82,"원조 뚱보 초코보",0,"",0,0,1,0,0,1520,2,2,45,0,374,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193,"SE_Bt_Etc_DebuCyokoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_DebuCyokoboBye",20,10,true,false,0,1,0,0,59,4460,2,100,0,0,0,0,false,false,false
83,"아스트로페",0,"",0,0,1,0,0,1476,2,1,45,15,374,375,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,319,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,0,0,0,0,60,4461,200,65,0,0,1,0,false,false,false
84,"뚱보 모그리",0,"",0,0,1,0,0,1532,2,1,45,15,374,375,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,396,"SE_Bt_Etc_MogKikyuuWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_MogKikyuuBye",20,10,false,true,0,0,0,0,61,4462,2,100,0,0,1,20,true,true,false
85,"",0,"",0,0,1,0,0,820,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_WaterRizardWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WaterRizardBye",20,10,false,true,0,1,0,0,-1,0,0,100,0,0,0,16,false,false,false
86,"구름솜풀",0,"",0,0,1,0,0,1515,2,1,45,15,374,375,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,319,"SE_Bt_Etc_PopoWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_PopoBye",20,10,false,true,0,0,0,0,63,4463,26,100,0,0,0,19,true,true,false
87,"위스퍼호",0,"",0,0,1,0,0,1534,2,1,45,15,374,375,1.0,0.9,1.1,1.05,0.6,0.6,0.9,0.85,1.2,1.1,1.15,0.82,319,"SE_Bt_Etc_YoukaiWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_YoukaiBye",0,10,false,true,0,0,0,0,64,4464,254,100,0,0,0,0,true,false,false
88,"",0,"",0,0,1,0,0,1412,2,1,45,15,374,375,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.8,0.8,319,"SE_Bt_Etc_TwinTaniaWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TwinTaniaBye",20,20,false,true,0,0,0,0,-1,0,0,55,9,3,0,17,true,false,false
89,"",0,"",0,0,1,0,0,1515,2,1,45,15,374,375,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,319,"SE_Bt_Etc_PopoWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_PopoBye",20,10,false,true,0,0,0,0,-1,0,0,100,0,0,0,18,true,false,false
90,"암흑송골매",0,"",0,0,1,0,0,1580,2,1,45,15,374,375,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,395,"SE_Bt_Etc_BirdWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BirdBye",20,10,false,true,0,0,0,0,65,4465,250,55,9,3,0,0,false,false,false
91,"비행 시스템",0,"",0,0,1,0,0,1636,2,1,45,15,374,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,121,"SE_Bt_Etc_DaragabWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_DaragabBye",0,10,false,true,0,1,0,0,66,4466,100,100,12,4,0,9,true,true,false
92,"떠도는 머리",0,"",0,0,1,0,0,1635,2,1,45,15,374,375,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,121,"SE_Bt_Etc_AhrimanWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_AhrimanBye",20,10,false,true,0,1,0,0,67,4468,27,100,0,0,0,0,true,false,false
93,"마나가름",0,"",0,0,1,0,0,1629,2,1,45,15,374,375,0.25,0.22,0.26,0.25,0.15,0.15,0.22,0.21,0.275,0.275,0.27,0.2,121,"SE_Bt_Etc_FenrirWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_FenrirBye",20,10,false,true,0,1,0,0,68,4467,16,65,0,6,0,0,false,false,false
94,"빛나는 위스퍼호",0,"",0,0,1,0,0,1646,2,1,45,15,374,375,1.0,0.9,1.1,1.05,0.6,0.6,0.9,0.85,1.2,1.1,1.15,0.82,319,"SE_Bt_Etc_YoukaiWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_YoukaiBye",0,10,false,true,0,0,0,0,69,4469,254,100,0,0,0,0,true,false,false
95,"",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","","",0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false
96,"",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","","",0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false
97,"",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","","",0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false
98,"여신송골매",0,"",0,0,1,0,0,1768,2,1,45,15,374,375,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,415,"SE_Bt_Etc_BirdWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_BirdBye",20,10,false,true,0,0,0,0,73,4471,250,55,9,3,0,0,false,false,false
99,"",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","","",0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false
100,"검은 페가수스",0,"",0,0,1,0,0,1472,2,1,45,15,374,375,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,319,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,0,0,0,0,75,4472,200,65,0,0,0,0,false,false,false
101,"아르히데우스",0,"",0,0,1,0,0,1704,2,1,45,15,374,375,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,416,"SE_Bt_Etc_AlxWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_AlxBye",0,10,false,false,0,0,0,0,76,4473,101,100,0,0,0,0,true,false,false
